entity_id,tu_trip_id,tu_route_id,tu_direction_id,tu_start_time,arrival_delay,stop_id,stop_sequence,schedule_relationship,route_type
1,11312_3434,54B,0,,150,3747,10,0,autobus
2,11312_3420,54B,1,,-75,798,20,0,autobus
3,11312_2937,51A,0,,253,1447,18,0,autobus
4,11312_11047,Z3,1,,83,199,5,0,autobus
4,11312_11047,Z3,1,,67,644,6,0,autobus
4,11312_11047,Z3,1,,67,644,6,0,autobus
5,11312_5153,66,1,,-165,313,14,0,autobus
6,11312_8424,87B,1,,-45,1280,18,0,autobus
7,11312_2994,51B,1,,-70,1369,22,0,autobus
8,11312_3957,59,0,,54,2813,9,0,autobus
9,11312_10992,Z3,0,,-67,2491,10,0,autobus
10,11312_4057,59,1,,-79,1210,7,0,autobus
11,11312_3990,59,1,,85,634,13,0,autobus
12,11312_9375,96,1,,58,22,36,0,autobus
13,11312_3294,53B,0,,7,763,3,0,autobus
14,11312_9295,96,0,,181,3448,43,0,autobus
15,11312_6877,78,0,,60,3569,5,0,autobus
16,11312_7363,80B,1,,81,563,38,0,autobus
17,11312_7320,80B,0,,506,566,40,0,autobus
18,11312_8236,86,1,,-28,2990,2,0,autobus
19,11312_7408,80B,1,,78,2084,17,0,autobus
20,11312_7375,80B,1,,-43,1362,25,0,autobus
21,11312_7414,80B,0,,33,1675,15,0,autobus
22,11312_7331,80B,0,,611,789,22,0,autobus
23,11312_4960,65A,1,,23,2716,23,0,autobus
24,11312_4870,64B,1,,71,1062,28,0,autobus
24,11312_4870,64B,1,,71,1062,28,0,autobus
25,11312_9758,99,0,,-48,602,37,0,autobus
26,11312_9779,99,1,,82,1990,27,0,autobus
27,11312_8146,86,0,,33,3636,19,0,autobus
28,11312_9391,96,1,,409,1086,17,0,autobus
29,11312_9816,99,0,,22,36,8,0,autobus
30,11312_9514,96,0,,-90,488,25,0,autobus
31,11312_6820,78,1,,42,1767,9,0,autobus
32,11312_9420,96,1,,123,500,8,0,autobus
33,11312_7927,83,1,,19,538,28,0,autobus
34,11312_9569,96,1,,-69,332,26,0,autobus
35,11312_9323,96,0,,121,1040,18,0,autobus
36,11312_9309,96,0,,-93,1303,30,0,autobus
37,11312_8575,88B,0,,332,1871,33,0,autobus
38,11312_10743,Z,1,,228,1369,11,0,autobus
39,11312_8687,89,1,,-6,604,8,0,autobus
40,11312_8496,87B,0,,29,3032,15,0,autobus
41,11312_7821,83,0,,20,1128,23,0,autobus
42,11312_7893,83,1,,622,492,35,0,autobus
43,11312_7787,83,1,,74,553,15,0,autobus
44,11312_7804,83,1,,-31,3799,3,0,autobus
44,11312_7804,83,1,,-31,3799,3,0,autobus
45,11312_8213,86,1,,-40,977,12,0,autobus
46,11312_3307,53B,1,,38,2039,5,0,autobus
47,11312_8258,86,0,,374,1369,29,0,autobus
47,11312_8258,86,0,,374,1369,29,0,autobus
48,11312_9457,96,1,,94,1079,15,0,autobus
49,11312_5100,65A,1,,612,315,36,0,autobus
50,11312_4975,65A,1,,95,1561,17,0,autobus
51,11312_9527,96,0,,3,628,14,0,autobus
52,11312_9872,99,1,,20,3063,10,0,autobus
53,11312_5029,65A,0,,14,374,22,0,autobus
54,11312_9336,96,0,,-10,13,9,0,autobus
55,11312_4478,60D,1,,-88,1277,10,0,autobus
56,11312_5051,65A,0,,119,658,7,0,autobus
57,11312_7841,83,0,,15,1245,11,0,autobus
58,11312_7485,81A,0,,80,1349,28,0,autobus
59,11312_9795,99,0,,251,1407,19,0,autobus
60,11312_9630,96,1,,20,749,16,0,autobus
61,11312_9445,96,1,,44,301,30,0,autobus
62,11312_3188,53A,1,,39,1017,4,0,autobus
63,11312_7523,81A,0,,-83,344,16,0,autobus
64,11312_4950,65A,1,,257,369,28,0,autobus
65,11312_9361,96,1,,268,1130,41,0,autobus
66,11312_7609,81A,1,,-10,87,12,0,autobus
66,11312_7609,81A,1,,-10,87,12,0,autobus
67,11312_6281,73,0,,137,208,4,0,autobus
68,11312_8190,86,1,,489,713,20,0,autobus
69,11312_3917,58B,0,,38,317,13,0,autobus
69,11312_3917,58B,0,,38,317,13,0,autobus
70,11312_4825,64B,1,,-48,102,15,0,autobus
71,11312_8613,88C,1,,-9,735,17,0,autobus
72,11312_4898,64B,0,,425,3163,31,0,autobus
73,11312_8659,89,0,,5,611,16,0,autobus
73,11312_8659,89,0,,5,611,16,0,autobus
74,11312_7586,81A,1,,146,306,22,0,autobus
75,11312_9405,96,1,,-22,1499,8,0,autobus
76,11312_8168,86,0,,20,702,5,0,autobus
77,11312_6847,78,0,,258,1920,17,0,autobus
78,11312_9541,96,0,,7,1122,2,0,autobus
79,11312_3895,58B,1,,748,1212,10,0,autobus
80,11312_8029,84B,0,,186,2463,11,0,autobus
81,11312_4353,60A,0,,48,1259,17,0,autobus
82,11312_7984,84A,1,,137,1766,5,0,autobus
83,11312_4853,64B,0,,18,1227,23,0,autobus
83,11312_4853,64B,0,,17,1227,23,0,autobus
84,11312_6310,73,1,,-25,634,12,0,autobus
85,11312_8337,87A,1,,142,300,5,0,autobus
86,11312_8629,88D,0,,-59,100,12,0,autobus
87,11312_6724,77,1,,17,1051,4,0,autobus
88,11312_6120,72A,0,,160,833,45,0,autobus
89,11312_3501,55A,0,,82,1303,34,0,autobus
90,11312_3760,57,0,,46,3277,15,0,autobus
91,11312_3563,55A,1,,608,1117,37,0,autobus
92,11312_3799,57,1,,22,3092,18,0,autobus
