entity_id,trip_id,route_id,vehicle_id,latitude,longitude,current_stop_id,current_stop_name,current_stop_sequence,current_status,route_type,timestamp,current_stop_lat,current_stop_lon
1,11312_3434,54B,1001,51.749168395996094,19.509660720825195,3747,Niciarniana-Dw. Łódź Zarzew NŻ,10,2,autobus,1764788360,51.75049,19.51255
2,11312_3420,54B,1002,51.76409149169922,19.50787925720215,798,Niciarniana-Piłsudskiego,20,2,autobus,1764788360,51.76256,19.50822
3,11312_2937,51A,1004,51.822288513183594,19.487369537353516,1447,Wycieczkowa-Nowaka Jeziorańskiego NŻ,18,2,autobus,1764788362,51.82526,19.48795
4,11312_11047,Z3,1005,51.798091888427734,19.456079483032227,199,Łagiewnicka-Kowalska,5,0,autobus,1764788364,51.79523,19.45556
5,11312_5153,66,1007,51.801841735839844,19.458160400390625,313,r. Powstańców 1863r.,14,0,autobus,1764788356,51.80124,19.45937
6,11312_8424,87B,1165,51.77981185913086,19.48151969909668,1280,Pomorska-rondo Solidarności,18,2,autobus,1764788356,51.77883,19.48298
7,11312_2994,51B,1167,51.777259826660156,19.478919982910156,1369,Uniwersytecka-Rewolucji 1905r.,22,2,autobus,1764788360,51.77593,19.47699
8,11312_3957,59,1169,51.80345153808594,19.440929412841797,2813,Zgierska-cm. Radogoszcz,9,2,autobus,1764788354,51.80698,19.43949
9,11312_10992,Z3,1178,51.79214096069336,19.454879760742188,2491,Dolna-Łagiewnicka,10,2,autobus,1764788362,51.79133,19.45432
10,11312_4057,59,1179,51.815940856933594,19.43572998046875,1210,Zgierska-Sikorskiego,7,2,autobus,1764788350,51.81485,19.43439
11,11312_3990,59,1180,51.78266906738281,19.450410842895508,634,Zachodnia-Lutomierska NŻ,13,0,autobus,1764788362,51.78251,19.45032
12,11312_9375,96,1189,51.79753112792969,19.39495086669922,22,Traktorowa-Aleksandrowska,36,2,autobus,1764788362,51.79712,19.39419
13,11312_3294,53B,1193,51.77111053466797,19.46377944946289,763,Narutowicza-pl. Dąbrowskiego,3,2,autobus,1764788362,51.77193,19.47047
14,11312_9295,96,1194,51.741310119628906,19.56402015686035,3448,Hetmańska-Zakładowa,43,2,autobus,1764788364,51.74081,19.56926
15,11312_6877,78,1196,51.796241760253906,19.394189834594727,3569,Traktorowa-Łanowa,5,2,autobus,1764788364,51.79444,19.39376
16,11312_7363,80B,1205,51.75600051879883,19.423240661621094,563,Krzemieniecka-Kowieńska,38,0,autobus,1764788356,51.75617,19.42183
17,11312_7320,80B,1208,51.74488830566406,19.552780151367188,566,Książąt Polskich-Zakładowa,40,2,autobus,1764788358,51.7442,19.55199
18,11312_8236,86,1209,51.77027130126953,19.467350006103516,2990,Rodziny Poznańskich-Dw. Łódź Fabryczna,2,0,autobus,1764788366,51.76983,19.46573
19,11312_7408,80B,1210,51.774620056152344,19.42089080810547,2084,Lutomierska-Włókniarzy,17,2,autobus,1764788358,51.78922,19.42292
20,11312_7375,80B,1213,51.76641082763672,19.466550827026367,1362,Tuwima-Kilińskiego (EC1 Centr. Nauki),25,1,autobus,1764788358,51.7664,19.46667
21,11312_7414,80B,1216,51.763851165771484,19.43868064880371,1675,Łąkowa-Struga,15,2,autobus,1764788358,51.7631,19.43941
22,11312_7331,80B,1217,51.76325988769531,19.4677791595459,789,Nawrot-Targowa,22,2,autobus,1764788362,51.76355,19.47347
23,11312_4960,65A,1325,51.771240234375,19.43239974975586,2716,Legionów-Artyleryjska NŻ,23,0,autobus,1764788364,51.7711,19.43188
24,11312_4870,64B,1329,51.75994110107422,19.518049240112305,1062,Przybyszewskiego-Lodowa,28,2,autobus,1764788356,51.75184,19.52215
25,11312_9758,99,1331,51.8178596496582,19.418920516967773,602,Radogoszcz Zachód,37,0,autobus,1764788348,51.81756,19.41923
26,11312_9779,99,1332,51.79140090942383,19.425479888916016,1990,Limanowskiego-Mokra,27,0,autobus,1764788362,51.79113,19.42662
27,11312_8146,86,1334,51.764461517333984,19.447120666503906,3636,Żeromskiego-Struga,19,2,autobus,1764788360,51.76541,19.44694
28,11312_9391,96,1335,51.75025177001953,19.48940086364746,1086,Śmigłego Rydza-Milionowa,17,2,autobus,1764788362,51.75256,19.48937
29,11312_9816,99,1337,51.748050689697266,19.40574073791504,36,Retkińska-Wyszyńskiego,8,2,autobus,1764788362,51.74902,19.40745
30,11312_9514,96,1338,51.77286911010742,19.482519149780273,488,Kopcińskiego-Narutowicza,25,0,autobus,1764788362,51.7721,19.48277
31,11312_6820,78,1340,51.80290985107422,19.367319107055664,1767,Aleksandrowska-Szczecińska,9,2,autobus,1764788364,51.80249,19.36915
32,11312_9420,96,1343,0.0,0.0,500,Rokicińska-Maszynowa,8,2,autobus,1764788362,51.76255,19.5287
33,11312_7927,83,1345,51.76226043701172,19.453380584716797,538,Zamenhofa-Piotrkowska,28,2,autobus,1764788358,51.76217,19.45637
34,11312_9569,96,1346,51.77362823486328,19.45292091369629,332,Zachodnia-Legionów,26,2,autobus,1764788360,51.77555,19.45251
35,11312_9323,96,1348,51.77696990966797,19.45185089111328,1040,Próchnika-Piotrkowska,18,2,autobus,1764788364,51.77466,19.45454
36,11312_9309,96,1349,51.748538970947266,19.489530563354492,1303,Śmigłego Rydza-Przybyszewskiego,30,0,autobus,1764788364,51.74821,19.48958
37,11312_8575,88B,1352,51.85493850708008,19.639419555664062,1871,Skoszewy,33,2,autobus,1764788352,51.8548,19.63899
38,11312_10743,Z,1355,51.77204132080078,19.470640182495117,1369,Uniwersytecka-Rewolucji 1905r.,11,2,autobus,1764788362,51.77593,19.47699
39,11312_8687,89,1356,51.817378997802734,19.420289993286133,604,11 Listopada-Jantarowa,8,2,autobus,1764788350,51.81533,19.42281
40,11312_8496,87B,1366,51.778480529785156,19.44754981994629,3032,Ogrodowa-Gdańska,15,2,autobus,1764788354,51.77821,19.44637
41,11312_7821,83,1383,51.79262924194336,19.391569137573242,1128,Rojna-Traktorowa,23,1,autobus,1764788360,51.79257,19.39184
42,11312_7893,83,1384,51.768131256103516,19.483509063720703,492,Tuwima-Rodz. Kindermannów NŻ,35,0,autobus,1764788362,51.76768,19.48244
43,11312_7787,83,1386,51.77925109863281,19.398679733276367,553,Krakowska-Biegunowa,15,2,autobus,1764788360,51.77537,19.39866
44,11312_7804,83,1387,51.81193923950195,19.37721061706543,3799,Szczecińska-Wersalska,3,0,autobus,1764788362,51.81123,19.37639
45,11312_8213,86,1391,51.75736999511719,19.434459686279297,977,Włókniarzy-Mickiewicza (Dw. Ł. Kaliska),12,2,autobus,1764788360,51.75695,19.43384
46,11312_3307,53B,1393,51.80432891845703,19.7545108795166,2039,Traugutta(Brzeziny),5,2,autobus,1764788350,51.80095,19.75263
47,11312_8258,86,1394,51.77396011352539,19.474950790405273,1369,Uniwersytecka-Rewolucji 1905r.,29,0,autobus,1764788354,51.77593,19.47699
48,11312_9457,96,1395,51.749481201171875,19.50334930419922,1079,Przybyszewskiego-Zapadła,15,2,autobus,1764788356,51.74888,19.49989
49,11312_5100,65A,1399,0.0,0.0,315,Łagiewnicka-r. Powstańców 1863r.,36,1,autobus,1764788352,51.8004,19.45721
50,11312_4975,65A,1469,51.764190673828125,19.43947982788086,1561,Żeligowskiego-Struga,17,2,autobus,1764788360,51.76508,19.43936
51,11312_9527,96,1471,51.78633117675781,19.43320083618164,628,Lutomierska-Czarnkowska,14,2,autobus,1764788364,51.78511,19.43787
52,11312_9872,99,1474,51.79798889160156,19.432939529418945,3063,Hipoteczna-Pojezierska,10,0,autobus,1764788360,51.79738,19.43268
53,11312_5029,65A,1475,51.77043914794922,19.428869247436523,374,1 Maja-Żeligowskiego,22,2,autobus,1764788356,51.77064,19.43709
54,11312_9336,96,1476,51.795989990234375,19.40195083618164,13,Aleksandrowska-Bielicowa,9,2,autobus,1764788358,51.79566,19.40353
55,11312_4478,60D,1478,51.788631439208984,19.48516082763672,1277,Palki-Smutna,10,2,autobus,1764788362,51.7873,19.48388
56,11312_5051,65A,1479,51.81127166748047,19.455490112304688,658,Łagiewnicka-Morelowa NŻ,7,2,autobus,1764788358,51.80763,19.4581
